Title,Genres,Median Score
Boku no Hero Academia 6th Season,"['Action', 'School', 'Shounen', 'Super Power']",
Hunter x Hunter: Greed Island Final,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Kuroshitsuji Movie: Book of the Atlantic,"['Action', 'Historical', 'Mystery', 'Mythology', 'Shounen', 'Supernatural']",
Nodame Cantabile,"['Adult Cast', 'Comedy', 'Josei', 'Music', 'Romance']",
Planetes,"['Adult Cast', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi', 'Seinen', 'Space', 'Workplace']",
Shinsekai yori,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Suspense']",
Stranger: Mukou Hadan,"['Action', 'Adventure', 'Historical', 'Samurai']",
Tonari no Totoro,"['Adventure', 'Award Winning', 'Supernatural']",
World Trigger 3rd Season,"['Action', 'Sci-Fi', 'Shounen']",
Sennen Joyuu,"['Action', 'Adult Cast', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Showbiz']",
Doupo Cangqiong 4th Season,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Mythology', 'Romance', 'Supernatural']",
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,"['Action', 'Adventure', 'Fantasy']",
