Title,Genres,Status,User Score
"Kanojo, Okarishimasu","['Adult Cast', 'Comedy', 'Harem', 'Romance', 'Shounen']",Completed,8
Kanokon: Manatsu no Dai Shanikusai,"['Ecchi', 'Romance']",Completed,0
Karakai Jouzu no Takagi-san,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed,0
Karakai Jouzu no Takagi-san 2,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed,0
Kawaii dake ja Nai Shikimori-san,"['Comedy', 'Romance', 'School']",Completed,7
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Completed,8
Kimetsu no Yaiba,"['Action', 'Award Winning', 'Historical', 'Shounen', 'Supernatural']",Completed,9
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",Completed,7
Kimetsu no Yaiba: Yuukaku-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",Completed,6
Kimi ni Todoke,"['Drama', 'Romance', 'School', 'Shoujo']",Completed,2
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"['Comedy', 'Harem', 'Parody', 'Romance', 'School', 'Seinen']",Completed,8
Kimi no Na wa.,"['Award Winning', 'Drama']",Completed,9
Kimi no Suizou wo Tabetai,"['Drama', 'Romance', 'School']",Completed,9
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,"['Ecchi', 'Fantasy', 'School', 'Shounen']",Completed,6
Kiseijuu: Sei no Kakuritsu,"['Action', 'Gore', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",Completed,9
Kishuku Gakkou no Juliet,"['Action', 'Comedy', 'Romance', 'School', 'Shounen']",Completed,8
Kobayashi-san Chi no Maid Dragon,"['Slice of Life', 'Supernatural']",Completed,0
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Supernatural']",Completed,0
Koe no Katachi,"['Award Winning', 'Drama', 'Shounen']",Completed,6
Koi to Senkyo to Chocolate,"['Drama', 'Harem', 'Romance', 'School']",Completed,1
Koi to Uso,"['Drama', 'Love Polygon', 'Romance', 'School']",Completed,7
Koi to Yobu ni wa Kimochi Warui,"['Comedy', 'Romance', 'School']",Completed,8
Kokuhaku,['Horror'],Completed,1
Kono Bijutsu-bu ni wa Mondai ga Aru!,"['Comedy', 'Romance', 'School', 'Seinen', 'Visual Arts']",Completed,7
Kono Subarashii Sekai ni Bakuen wo!,"['Comedy', 'Fantasy']",Completed,8
Kono Subarashii Sekai ni Shukufuku wo!,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,10
Kono Subarashii Sekai ni Shukufuku wo! 2,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,0
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,0
Kono Subarashii Sekai ni Shukufuku wo! 3,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,8
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,0
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed,0
